,Title,Publish Date,Place of Accident,Dead,Cause Of Accident,Village Of Accident,Time,Road,Travel To,Travel From,Cars Involved,Cars ,Registration,Day Of Accident,Type Of Accident,Day_Night
51,Car plunges into Kazinga channel,2021-07-07,Rubirizi,,brake failure.,Katunguru bridge.,12.0,,,from Rubirizi,Toyota Probox vehicle,Private cars,UBD,Tuesday,,Day
52,Two injured in Jinja Road motor accident,2021-07-11,Kampala,2.0,,Mukono ,13.0,KAMPALA - A cyclist,to Mukono district,from Kampala,,,HZE,Sunday,crahed motorcycle,Day
53,Three-year-old knocked dead by family car,2021-07-08,Kira municipality,1.0,received another call informing,Ssempijja,6.0,home,,,,,,Monday,knocked pedestrian,Night
54,"Four killed, six hospitalised in another Mbale road accident",2021-08-25,Mbale,4.0,,Mbale city,10.0,Mbale-Tororo road,,,Toyota Land,Private cars,UBA,,rammed other vehicle,Day
55,"Four dead, five hospitalized after Mbale accident",2021-08-25,Mbale,4.0,speeding,Mbale city,6.0,Mbale - Tororo road,,,Benerad Atwama,Truck,UBB,,crahed motorcycle,Night
56,Buyende NRM chairperson perishes in accident,2021-08-25,Mayuge,1.0,,Butabala Trading Centre,6.0,Kamuli-Jinja Highway.,,,taxi,Commuter taxi,UFE,IOV,head on collision,Night
57,MP Gilbert Olanya involved in ‘nasty’ accident,2021-08-25,Mityana,,,Migyera trading centre,21.0,Gulu-Kampala ,to Kampala,from Gulu District,,,,Tuesday,rammed into stationary  truck,Night
58,MP Mwijukye survives lynching after his car knocks two dead,2021-08-23,Mpigi,,,Buwama town council,18.0,Mbizzinya-Kyengera Village,,,,,,Sunday,knocked pedestrian,Day
59,Opposition Chief Whip Nambeshe involved in ‘horrible’ accident,2021-08-21,Buikwe,,,Mbiiko,6.0,Kampala - Jinja,,,,,,,,Night
60,Police officer knocked dead in Sironko,2021-08-13,Kabale,1.0,speeding,Kota trading center,18.0,Mbale - Moroto road,,,,,UBB,Thursday,knocked pedestrian,Day
61,One dead as two vehicles collide in Rukiga road accident,2021-08-16,Rukiga,1.0,night,Rugarama hospital,20.0,Kabale-Ntungamo ,,,truck,Truck,UAL,Sunday,head on collision,Night
62,"Police speak out on YY bus accident, confirm pedestrian death",2021-08-29,Kampala,1.0,other victims,,5.0,Kampala-Jinja,,,Fuso truck - bus,Truck,UAV,Friday,head on collision,Night
63,Two confirmed dead in fatal accident,2021-08-10,Kiboga,2.0,its tyre burst,Kagobe village,13.0,Kampala-Kiboga,towards Kiboga,from Lwamata,motorcycle,Boda,UAW,Tuesday,head on collision,Day
64,Four injured in Kampala-Masaka Highway accident,2021-08-30,Kalungu,,high speed,Lukaya Town Council,6.0,Kampala-Masaka highway,to Kampala at,,taxi,Commuter taxi,UBF,Sunday,crahed motorcycle,Night
65,Musician Eddy Kenzo involved in accident on Masaka Road,2021-08-05,Wakiso,,,Maya,,Kampala-Masaka Road,,,,,,Thursday,,Day
66,Five killed in Masindi road accident,2021-08-16,Masindi,5.0,lost control,Nyantonzi village,,,,,,,,Monday,overturned,Day
67,Couple perishes in Mpigi motor accident,2021-09-29,Mpigi,2.0,speeding,Mpambire Village,18.0,Kampala –Masaka highway,,,,,UBJ,Tuesday,knocked pedestrian,Day
68,Soldiers injured in city train accident,2021-09-17,Wakiso,,,Kireka,7.0,,,from Bweyogerere,,,,,rammed other vehicle,Day
69,Mubende NMG reporter dies in road accident,2021-09-16,Mubende,1.0,speeding ,Namagogo Way Bridge,6.0,Mubende-Kampala highway,"headed for Mubende Town.

",,,,,Thursday,knocked pedestrian,Night
70,Retired police officer among three killed in Kiryandongo road accident,2021-09-14,Kiryandongo,3.0,child Priscilla Mbabazi- all,Alengo Village,6.0,Gulu-Kampala highway,,from Lira,Toyota Hiace,Commuter taxi,UBG,Tuesday,overturned,Night
71,"Two dead, one injured in Mabira four-car crash",2021-10-22,Buikwe,2.0,reckless driving.,Mabira Forest,5.0,Kampala- Jinja ,to Kampala,from Jinja,trailer,Truck,,Friday,head on collision,Night
72,"Two dead, 13 injured in Pader road accident",2021-10-26,Pader,2.0,"reckless driving,",Laguti trading center,14.0,Gulu-Kitgum highway.,to Kitgum,from Gulu,taxi,Commuter taxi,UBJ,Monday,overturned,Day
73,"Two dead, two injured in Luwero road accident",2021-10-17,Luwero,2.0,two,Ngogoro village,23.0,Kampala-Gulu ,,from Gulu is,Margret Odongo,Private cars,UAS,Saturday,head on collision,Night
74,"Five people perish, eight injured in Kyegegwa road crash",2021-11-27,Kasese,5.0,,Aisha,9.0,Kyegegwa-Mubende Road,for Kampala,from Kasese,taxi,Commuter taxi,UBF,Saturday,rammed other vehicle,Day
75,Three killed in Mityana-Mubende road accident,2021-11-25,Kassanda,3.0,at Kigalama,Kigalama village,6.0,Mityana-Mubende Road,,,taxi,Commuter taxi,UBJ,Thursday,crahed motorcycle,Night
76,Seven injured in Kayunga road accident,2021-11-23,Kayunga,,taxi driver,Kantenga swamp,6.0,Kampala - Kayunga,for Kampala,from Kayunga,taxi,Commuter taxi,UAZ,,overturned,Night
77,Two confirmed dead in Kampala-Masaka Road accident,2021-11-09,Mpigi,2.0,speeding,Bubule Village,20.0,Kampala- Masaka ,to Kampala,from Kampala,taxi,Commuter taxi,UAV,Monday,head on collision,Night
78,Three knocked dead in Namutumba road accident,2021-11-15,Namutumba,3.0,speeding,Magada trading center,7.0,Iganga-Mbale highway,,,Toyota Passo,Private cars,UBH,Monday,crahed motorcycle,Day
79,10 injured in Kisoro bus accident,2021-11-18,Kisoro,,,Gasheregenyi trading center,6.0,Kabale-Kisoro road,to Kisoro,from Kampala,bus,Bus,UAU,,overturned,Night
80,Kikuube LC5 councilor Nyakojo killed in fatal accident,2021-11-03,Kikuube,1.0,,Mairirwe trading center,7.0,Hoima-Kikuube-Fortportal ,,,,,,Tuesday,rammed into stationary  truck,Day
81,Over 30 traders injured in Buliisa road accident,2021-11-01,Buliisa,,morning,,11.0,Biiso-Butiaba-Wanseko road,to Buliisa,from Masindi,Fuso lorry,Truck,UAP,,overturned,Day
82,"Five perish in Luweero, Nakasongola motor accidents",2021-10-18,Nakasongola,5.0,reckless driving.,Kyankonwa village,6.0,Kampala-Gulu ,to Kampala City,,Sunday October,Private cars,UAZ,Saturday,head on collision,Night
83,Three people perish in Rwampara road accident,2021-10-14,Rwampara,3.0,indicating,Rwemiyenje Village,6.0,Mbarara-Kabale Highway,to Ntungamo District,from Mbarara,Toyota Carina,Private cars,UAV,Thursday,rammed other vehicle,Night
84,Two cattle traders perish in Sembabule road accident,2021-10-04,Sembabule,2.0,speeding,,6.0,,to Kazo,,,,,,head on collision,Night
85,"Police patrol car crashes pursuing 'errant' motorist, six officers injured",2021-10-01,Masaka City,,speeding,Kidda Village,6.0,,,,,,,,,Night
86,"Fuso truck rams into parked car, motorcycle killing two",2021-11-06,Mukono,2.0,,,8.0,,,,Fuso truck,Truck,UBG,Saturday,crahed motorcycle,Day
87,Mbale veterinary doctor dies in motor accident,2021-12-21,Mbale,1.0,speeding,Nakaloke trading centre,20.0,Mbale-Soroti Road,,,bus,Bus,UAJ,,crahed motorcycle,Night
88,UPDF Brigadier's child killed by reversing car,2021-12-20,Masaka City,1.0,reversing,Nyendo -Mukungwe constituency,8.0,Kabale - Bugonzi Village,to Kampala.,,,,,Sunday,,Day
89,Woman killed in hit and run in Mukono,2021-12-19,Mukono,1.0,speeding,UCC Church,0.0,Kampala - Jinja,to Mukono,from Kampala,,,,,knocked pedestrian,Night
90,"UPDF driver at large after knocking mother, daughter dead",2021-12-17,Mbale,2.0,speeding,Bugema army,12.0,Mbale-Tororo road,"motorcyclist,”Mr Taitika",,,,,Friday,knocked pedestrian,Day
91,Three dead after boda boda collides with car in Oyam,2021-12-13,Oyam,3.0,speeding,Amati Trading Centre,15.0,Gulu-Kampala highway,towards Karuma,,,,,Sunday,crahed motorcycle,Day
92,Two prisoners killed in Lwengo motor accident,2021-12-08,Lyantonde,2.0,,Katovu,7.0,,,,Toyota Wish,Private cars,,Wednesday,overturned,Day
93,Man dies in Pallisa road accident,2021-12-06,Pallisa hospital,1.0,,Pallisa,,Pallisa-Kamonkoli,,,Sylivia Nabulega,Private cars,UAX,,overturned,Day
94,11 injured in Bududa road accident,2021-12-30,Bududa,,,Women's corner stage,6.0,Bududa-Mbale highway,to Kiryandongo ,from Bududa,Fuso truck,Truck,UAW,,overturned,Night
95,Mother-to-be killed in Sembabule truck accident on Christmas,2021-12-26,Kibuku,1.0,,Banda Trading centre,17.0,Bulakati-Nyange trading centre,,,truck,Truck,UAN,,knocked pedestrian,Day
96,Three relatives perish in road accident,2021-13-26,Oyam,3.0,Three,Kamdini,12.0,Gulu-Kampala highway,,,motorcycle,Private cars,UEH,Sunday,crahed motorcycle,Day
97,"Kiryandongo bus accident claims one, dozens injured",2021-12-24,Kiryandongo,1.0,,Masindi Port,20.0,Kampala-Gulu highway,to Adjumani,from Kampala,bus they,Bus,UAT,Thursday,overturned,Night
98,Six dead as two buses collide in Ntungamo,2022-12-30,Ntumgamo,6.0,reckless driving by the driver of Volcano bus,Rwahi village,4.0,Ntungamo-Kabale ,to Kabale,from Kigali,,,RAD,Friday,head on collision,Night
99,Three killed in Buloba multi-car crash,2022-12-30,Kampala,3.0,,Forest Park,14.0,Kampala-Mityana Road,to Mityana District,from Kampala,Toyota Wish,Private cars,,Friday,rammed other vehicle,Day
100,Catholic priest killed in Mpigi road accident,2022-12-30,Mpigi,1.0,,Senene village,10.0,,Vice Rector,,Toyota Harrier,Private cars,,Thursday,overturned,Day
101,"10 dead, 13 injured in Masaka-Mbarara road crash",2022-12-29,Lwengo,10.0,rear tyre burst,Nauni Robert,19.0,Masaka - Mbarara highway,to Mbarara,,Mercedes Benz Actros trailer,Truck,RAF,Wednesday,rammed other vehicle,Night
102,"Five dead, five injured in Kampala-Masaka road crash",2022-12-26,Mpigi,5.0,,Kibukuta Swamp,7.0,Kampala-Masaka highway,to Masaka District,from Kampala,Toyota Hiace taxi,Commuter taxi,UBM,,overturned,Day
103,Lorry driver arrested after hitting CDF’s car - UPDF,2022-12-23,Kampala,,lorry driver knocked,Spear Motors Junction,23.0,Nakawa-Ntinda Road,,from Kinawataka,truck,Truck,,Friday,rammed other vehicle,Night
104,Four killed in Kampala-Masaka road crash,2022-12-19,Mpigi,4.0,careless driving by the driver of the Fielder,Nabusanke Trading Centre,11.0,Kampala-Masaka ,to Mbarara,from Kampala,Toyota Corolla Fielder,Private cars,UAW,Sunday,head on collision,Day
105,"Serere MP, wife die in Mbale-Tirinyi road crash",2022-12-19,Budaka,2.0,,Naboa town council,7.0,Mbale-Iganga ,to Kampala,from Mbale,Isuzu Fuso truck,Truck,UBK,Monday,head on collision,Day
106,"Two dead, 10 injured in Kampala-Gulu road crash",2022-12-16,Nakasongola,2.0,,,5.0,Kampala-Gulu ,to Kampala while,from Gulu,bus,Bus,,Friday,head on collision,Night
107,Two traffic officers among 7 killed in four separate road crashes in Uganda,2022-12-16,Maracha,7.0,speeding,Busaku village,21.0,Kampala-Hoima road,to death,from Soroti,,,UAV,Thursday,knocked pedestrian,Night
108,Traffic officer among three killed in Lira road crash,2022-12-15,Lira,3.0,,Adwila,6.0,Lira-Soroti highway,to death,from Soroti,Ford Ranger,Private cars,PC ,Thursday,,Night
109,"Two dead, five injured after trucks collide in Maracha",2022-12-15,Maracha,2.0,slow down to,,6.0,Arua-Koboko ,Arua City,from Koboko District,truck,Truck,,,head on collision,Night
110,"Two police officers dead, 11 injured as patrol car overturns in Gulu",2022-12-13,Gulu,2.0,,Paicho Trading Centre,21.0,Gulu-Kitgum ,. Jacob Odong,,vehicle they,Private cars,,Monday,head on collision,Night
111,One dead as fuel tanker bursts into flames in Tororo,2022-12-13,Tororo,1.0,lost balance.,Tororo,9.0,,to Kampala,,fuel tanker,Truck,,Tuesday,overturned,Day
112,"Six dead, 11 injured as cement truck rams into taxi along Jinja-Kampala highway",2022-12-06,Buikwe,6.0,speeding,,13.0,Jinja-Kampala highway,towards Mbale,from Kampala,Fuso truck,Truck,,Tuesday,rammed other vehicle,Day
113,"Police probe car crash at mayor Lukwago’s home, driver arrested",2022-12-04,Kampala,,reckless driver of this Subaru,,7.0,,,,,,UAJ,Sunday,rammed into house,Day
114,"One killed, two injured in Kafu accident",2022-11-21,Kibaale,1.0,,Kafu ,5.0,Gulu-Kampala highway,to Kampala,from Omoro,,,,Sunday,overturned,Night
115,"LDC student killed in another boda boda, trailer crash",2022-11-03,Kampala,1.0,reckless boda boda riders.,Makerere,2.0,,,From October,Mercedes Benz trailer,Truck,LDC,LDC,crahed motorcycle,Night
116,Six people killed in Yumbe accident,2022-11-03,Yumbe,6.0,lost control,,6.0,,,,Fuso truck,Truck,,,overturned,Night
117,Two children from same family killed in Dokolo accident,2022-11-01,Dokolo,2.0,,Atwoma swamp,15.0,,to Mombasa.,from Juba,trailer truck,Truck,SSD,,knocked pedestrian,Day
118,"Eight dead, scores injured as truck carrying vendors rams into building",2022-11-01,Gulu,8.0,,,21.0,Opwonya-Walter Road,,,Mitsubishi Fuso Canter truck,Truck,,,rammed into house,Night
119,Police speak out on Northern Bypass fatal accident,2022-11-07,Wakiso,1.0,,Nansana,12.0,Northern bypass,,,Northern Bypass,Private cars,UAQ,,crahed motorcycle,Day
120,"Baby Coach, boda boda accident leaves 1 dead in Fort Portal",2022-11-12,Fort Portal,1.0,,Kichamba trading center,7.0,Fort Portal- Kasese road,,,Boda,Bus,UAU,Saturday,crahed motorcycle,Day
121,"Minister’s daughter, policeman killed in two separate Kampala road crashes",2022-10-30,Kampala,1.0,1920hrs,Bwaise,19.0,Ntinda - Stretcher Road.,to Naguru Hospital,,trailer,Truck,UAM,Friday,crahed motorcycle,Night
122,"Five dead, seven injured as another truck rams into boda boda riders in Rubaga",2022-10-27,Kampala,5.0,,Kabuusu,8.0,Soroti - Mbale highway,to Kibuku,,truck,Truck,,Thursday,crahed motorcycle,Day
123,"5 dead, 7 injured after truck transporting cattle crashes on Soroti –Mbale highway",2022-10-27,Soroti,5.0,reckless driving.,River Awoja.,9.0,Soroti - Mbale highway,to Kibuku,,Fuso truck,Truck,,Wednesday,overturned,Day
124,Galaxy radio boss dies in Entebbe expressway crash,2022-10-23,Kampala,1.0,speeding,Kilometer 10,9.0,Entebbe-Kampala Expressway,,overtake MV UG,Toyota Hilux,Private cars,UG ,Saturday,overturned,Day
125,"One dead, driver in critical condition after car bursts into flames",2022-10-21,Kiruhura,1.0,reckless driving or the vehicle,Sanga town council,3.0,Masaka-Mbarara highway,,,,,UAX,Friday,burst into flames,Night
126,Police name two men killed in Sheema road crash,2022-10-21,Sheema,2.0,speeding,Kitojo,6.0,Mbarara-Kasese Road,Mbarara City,,Toyota Hiace,Commuter taxi,,Friday,rammed into stationary  truck,Night
127,Four kadodi dancers knocked dead in Njeru,2022-10-20,Buikwe,4.0,speeding,Kafunta Trading Centre.,20.0,Katosi-Nyenga Highway.,,,,,UAG,Wednesday,knocked pedestrian,Night
128,Two mourners killed in hit-and-run on Sembabule- Masaka road,2022-10-13,Sembabule,2.0,speeding,Lwemirondo Village,5.0,Sembabule-Bukomansimbi- Masaka road,to Kikoma,,,,,,head on collision,Night
129,Another Jinja pastor dies in road crash,2022-10-02,Jinja City,1.0,speeding,Bufulubi trading Centre,7.0,Musita - Majanji road,to Jinja,,Jinja Cristian leaders,Commuter taxi,,Saturday,crahed motorcycle,Day
130,Two Jinja pastors perish in road crash while returning from burial,2022-09-20,Mayuge,2.0,over speed,Jinja South East Division,20.0,Walukuba-Masese,,from Lumino,,,,Saturday,rammed into stationary  truck,Night
131,Three injured in Northern bypass crash involving Museveni’s motorcade,2022-09-12,Presidential Protection Unit,3.0,,,11.0,Northern bypass,,,Northern Bypass.,Government,,Monday,crahed motorcycle,Day
132,"Two killed, two injured in Masaka road crash",2022-09-09,Masaka,2.0,speeding,Kijjabwemi trading centre,19.0,Kampala - Masaka,,from Masaka Central,Toyota Premio knocked a,Private cars,,Thursday,crahed motorcycle,Night
133,"Two dead, several injured as truck rams into kadodi dancers",2022-09-04,Bulambuli,2.0,speeding,,10.0,Nabbongo - Kapchorwa road,,,Sino truck,Truck,UAZ,Saturday,knocked pedestrian,Day
134,Three perish in Mayuge road accident,2022-09-19,Mayuge,3.0,,Bufulubi trading Centre,5.0,Musita-Lumino ,to Jinja Regional Referral Hospital,,Toyota Caldina,Private cars,UAG,Sunday,rammed into stationary  truck,Night
135,Four Kotido LC3 Chairpersons in accident,2022-09-04,Kotido,,this driver has,,16.0,Moroto - Kotido,to Kotido,from Moroto district,Toyota vehicle,Private cars,URN,,overturned,Day
136,Masaka road claims another life in less than a week,2022-09-27,Mpigi,1.0,speeding,Kavule swamp,6.0,Kampala-Masaka highway,to Masaka,from 1146-,Toyota Ipsum,Private cars,,,crahed motorcycle,Night
137,"Three perish, four injured in Mabira road accident",2022-08-26,Buikwe,3.0,night,Mabira Forest,21.0,Kampala - Jinja,,,Toyota Hiace,Commuter taxi,UBL,Thursday,rammed other vehicle,Night
138,"Teacher, family killed in Ntungamo accident",2022-08-22,Ntugamo,4.0,"reckless, he ran",Omunshenyi,19.0,Ntungamo-Kabale ,,,Toyota Noah,Private cars,UAY,Sunday,head on collision,Night
139,13 market vendors perish in Amuria road accident,2022-08-22,Amuria,13.0,truck driver lost,Alomayin swamp,8.0,Wera-Asamuk Road,,,Fuso truck,Truck,,Monday,overturned,Day
140,Two knocked dead after overnight prayers in Jinja,2022-07-30,Jinja City,2.0,speeding,Kyabazinga Stadium,5.0,,,,,,Uga,Saturday,knocked pedestrian,Night
141,Patient dies after ambulance overturns en route to Mulago hospital,2022-07-24,Kasese,1.0,a tyre burst,Kyegegwa hospital.,13.0,Kyegegwa-Mubende road,to Fort Portal city,from Kampala,,,,Sunday,overturned,Day
142,Five perish in Bulambuli road accident,2022-07-20,Bulambuli District.,5.0,speeding,Buyaga Trading Centre,23.0,Muyembe-Health center IV for,,,,,,Tuesday,knocked pedestrian,Night
143,Four children killed after car ploughs into eight juveniles,2022-07-16,Sembabule,4.0,speeding,Winnie Namata,6.0,Sembabule-Gomba road,towards Gomba District,from Sembabule,Toyota Wish,Private cars,Joa,Saturday,knocked pedestrian,Night
144,"Police officer, his wife and two children among six killed in Masaka road crash",2022-07-16,Maria Gorreti,6.0,recklessness driving on,Kyalusowe swamp,4.0,Kampala-Masaka ,,,Toyota Wish,Private cars,,Saturday,head on collision,Night
145,Three killed in Oyam motor accident,2022-07-13,Oyam,3.0,,Nora Trading Centre,19.0,Kampala-Gulu,towards Kamdini Town Council,,Fuso Mitsubishi Truck,Truck,UBD,Wednesday,head on collision,Night
146,Three perish in Jinja-Iganga Highway accident,2022-07-13,Bugiri,3.0,,Kakira junction,6.0,Jinja-Iganga ,to Kampala.,,trailer,Truck,UET,Tuesday,head on collision,Night
147,60 pupils survive road crash after school bus rams into truck in Mpigi,2022-07-12,Masaka City,,6am,Jinja,6.0,Kampala-Masaka ,Jinja City,,,,,Tuesday,rammed into stationary  truck,Night
148,Student dies in train accident 19 days to her LDC graduation,2022-07-12,Kampala,1.0,,LDC student,4.0,,,from Namanve,,,Uga,Sunday,rammed other vehicle,Night
149,Nine killed in Kampala-Gulu Highway crash,2022-07-10,Luwero,9.0,,Sinalya village,3.0,Kampala-Gulu ,to Gulu,from Kampala,commuter,Commuter taxi,UBD,,head on collision,Night
150,Four students die in Hoima road crash,2022-07-04,Masindi,4.0,reckless driver who,Kyamukunjuki trading center,7.0,Hoima-Kaiso-Tonya road,,from Kabale District,,,USA,,overturned,Day
151,"Nile High School boss, boda boda rider killed in Masaka road crash",2022-07-03,Masaka ,2.0,reaching Nkozi Hospital,Lweera when,6.0,Masaka-Kampala road,to Kampala.,from Masaka,,,,Sunday,crahed motorcycle,Night
152,Crime Intelligence Officer and family die in road crash,2022-07-17,Masaka,5.0,speeding,Katwe has,4.0,Kampala-Masaka,Metropolitan South,,Toyota Wish,Private cars,UBE,Saturday,head on collision,Night
153,Three perish in accident at Kakira junction,2022-07-13,Bugiri,3.0,,Uganda National Roads Authority-UNRA to devise,18.0,Jinja-Iganga ,to Kampala.,,motorcycle,motorcycle,UET,Tuesday,head on collision,Day
154,"Nine dead, five injured in Luwero road accident",2022-07-10,Luwero,9.0,,Sinalya village,15.0,Kampala-Gulu ,to Gulu,from Kampala,commuter taxi,Commuter taxi,UBD,Saturday,head on collision,Day
155,Four dead in Hoima road accident,2022-07-04,Hoima,4.0,,Kyamukunjuki trading centre,6.0,Hoima-Kaiso-Tonya road,to Hoima.,,Toyota Wish,Private cars,UDW,,crahed motorcycle,Night
156,Mbale hospital overwhelmed after Bukedea bus accident,2022-06-15,Bukdea,3.0,,Opiko stage,10.0,Mbale-Soroti,to Soroti,from Kampala,Isuzu Coach UAR 293M,Truck,UAH,Tuesday,head on collision,Day
157,Relatives storm Mulago after Nile Avenue taxi crash,2022-06-12,Kampala,2.0,,Nile avenue,19.0,Nile avenue,,from Muyenga Bukasa,taxi,Commuter taxi,UAW,Saturday,,Night
158,Five prisoners die in Luweero road accident,2022-05-30,Butuntumula Central Prisons facility,5.0,,Nalongo Village,6.0,Kampala-Gulu highway,,,Prisons truck,Truck,UBG,,,Night
159,Three family members among 5 killed in Kyegegwa taxi crash,2022-05-27,Kyegegwa District are,5.0,lost control,Kyasitiri,,"Kyenjojo_Kyegegwa highway.

",to Kampala,from Bunyangabu District,taxi,Commuter taxi,,Thursday,overturned,Day
160,Four critically injured after falling off army truck ferrying voters in Omoro,2022-05-26,Omoro,,,,14.0,,,,truck.,Truck,,Thursday,fell off a car,Day
161,Female pilgrim’s life cut short by speeding vehicle,2022-05-24,Kiruhura,1.0,speeding,Kageti,16.0,,,,,,,Wednesday,knocked pedestrian,Day
162,"URSB staff, cousin die after car rams into sugarcane truck",2022-05-24,Bugweri,2.0,speeding,Butongole village,5.0,Kampala-Jinja,,,Toyota Landcrusier,Private cars,UAL,Monday,rammed into stationary  truck,Night
163,"Kawempe councilor dies en route to Omoro, five injured",2022-05-21,Kampala,1.0,ongoing campaigns,Lalogi Town Council,20.0,Pallisa -Kumi road.,to Omoro District,from Iganga District,,,,Saturday,overturned,Night
164,Two family members perish in Budaka road accident,2022-05-21,Budaka,2.0,reckless drivers and those without valid driving permits especially,,6.0,Iki-Iki Village,,,Toyota Mark X,Private cars,ASP,Saturday,crahed motorcycle,Night
165,"Three dead, scores injured as Kampala-bound taxi overturns in Nakasongola",2022-05-17,Nakasongola,3.0,lost control,Migyera,,Kampala-bound passenger,to Kampala,from Masindi,Toyota Hiace,Commuter taxi,UAX,,overturned,Day
166,"13 dead, scores injured in two separate road crashes in Bukomansimbi, Masindi",2022-05-14,Bukomansimbi,13.0,lost control,Ikoba junction,12.0,Masaka - Sembabule road,,from Kinywamurara Camp-,Fuso truck,Truck,,Saturday,overturned,Day
167,Five killed as lorry carrying casual workers overturns in Masindi,2022-05-14,Masindi,5.0,,Ikoba junction,6.0,Masindi-Hoima road,,from Kinywamurara Camp-,lorry they,Truck,,Saturday,overturned,Night
168,Three people killed in Boda Boda accident in Kassanda,2022-05-11,Kassanda,3.0,,Kagaba,6.0,Bukuya-Rubali ,,,,,,Tuesday,head on collision,Night
169,20 dead after Kampala-bound bus overturns in Fort Portal,2022-05-04,Fort Portal,20.0,,Ssebitoli,10.0,Kampala-bound bus,to Kampala,from Fort Portal city,Bus,Bus,UBA,Wednesday,overturned,Day
170,Medical fraternity mourns doctor killed in Nakawa boda accident,2022-05-29,Kampala,1.0,lost control hit her,Spear,18.0,Boda-Bodas were,,from town,commuter taxi,Commuter taxi,UAW,Friday,,Day
171,"Kasese ambulance catches fire, killing 2 passengers",2022-05-11,Bunayangabu,2.0,,,6.0,Fort Portal-Kasese road,towards Fort portal,from Kasese,truck,Truck,,,burst into flames,Night
172,"Two dead, several injured in Mpigi accident",2022-04-27,Mpigi,2.0,,,5.0,Kampala-Masaka ,to Kampala,from Bushenyi,Fuso truck,Truck,URN,Wednesday,head on collision,Night
173,Dutch woman killed in Karamoja accident,2022-03-27,Kotido,1.0,high,Panyangara trading centre,17.0,Kotido-Moroto highway,,from Kidepo,,,URN,,overturned,Day
174,"Two dead, 13 injured in Lira road accident",2022-04-24,Lira,2.0,speeding,,,Lira-Kitgum road,to Lira City,,Fuso truck,Truck,,Saturday,overturned,Day
175,"Four dead, six injured in Easter Sunday night accident in Mpigi",2022-04-18,Mpigi,4.0,,Owamatovu Village,19.0,Kampala-Masaka,to Masaka.,from Masaka,Toyota Premio,Private cars,,Sunday,head on collision,Night
176,Two hospitalised as fuel tanker explodes,2022-04-14,Kabale,,,Kirengere,11.0,Ntungamo-Kabale highway,to Kabale,from Kampala,fuel tanker,Truck,,Thursday,overturned,Day
177,"Two killed, four others injured in Mbale accident",2022-04-14,Mbale,2.0,reckless driving by the truck driver.,Bungokho trading centre,19.0,Mbale-Tororo highway.,,,Fuso truck,Truck,ASP,Wednesday,crahed motorcycle,Night
178,Kampala – Gulu road crash claims two,2022-03-14,Luweero,2.0,,Lukomera village,3.0,Kampala-Gulu ,to Juba,from Arua,bus,Bus,,Monday,head on collision,Night
179,Budding lawyer's life cut short in road crash en route from celebrating 30th birthday,2022-03-02,Masaka,1.0,,Masaka,15.0,Kampala - Masaka,to Kampala,from Masaka City,,,Uga,Sunday,overturned,Day
180,"Two dead, 20 injured in Luwero accident",2022-03-14,Luwero,2.0,truck driver lost,South Sudan.,3.0,Kampala-Gulu ,to Kampala,from Arua city,Baby Coach bus,Bus,UBG,Monday,head on collision,Night
181,Lamwo RDC hospitalized following accident along Gulu-Kitgum highway,2022-02-13,Gulu,,,Lapuda trading centre,10.0,Gulu-Kitgum highway,to Lamwo district,from Gulu,Toyota double cabin,Private cars,UG ,Saturday,overturned,Day
182,Two killed after falling off bus carrying Arua football team,2022-01-27,Mvara Football Club,2.0,,,13.0,Wadlai-Pakwach route,,from Pakwach town,bus,Bus,,Thursday,fell off a car,Day
183,Two UPDF soldiers perish in Tororo accident,2022-01-30,Tororo,2.0,speeding,Tororo,6.0,,,,trailer,Truck,KCB,,rammed other vehicle,Night
184,20 students from Hoima school of nursing injured in motor accident,2022-01-24,Kikuube,,,Nyarongo village,6.0,Kibaale-Pacwa road,,,school bus,Bus,UAY,,overturned,Night
185,"7 dead, scores injured in Agali road accident",2022-01-11,Lira,7.0,lost control,Piiawac,20.0,Abako-Lira road,,from Ajuri,Fuso truck,Truck,UBJ,Monday,overturned,Night
186,Three killed in Kasese boda boda accident,2022-01-03,Kasese municipality,3.0,handed over to,,6.0,Kilembe road,,from a,motorcycle,Boda,URN,Sunday,head on collision,Night
187,"School van driver knocks parent dead, goes into hiding",2022-01-27,Kyotera,1.0,recklessly,Master Cares Christian School,7.0,Kyotera road,,,,,,Tuesday,crahed motorcycle,Day
188,"Driver, turnboy perish in Buikwe road accident",2022-01-24,Buikwe,2.0,,Lugalambo,4.0,,to Jinja,from Kampala,truck,Truck,,Monday,rammed into stationary  truck,Night
189,Kayunga archdeacon dies in road accident,2022-01-24,Kayunga,1.0,speeding,Buloba Village,23.0,Kayunga-Jinja highway,,from Buikwe District,bus,Bus,,Sunday,crahed motorcycle,Night
190,Six killed after taxi rams into family members waving at guest,2022-01-21,Pakwach,6.0,reckless driving and over-speeding,,21.0,Nebbi-Pakwach Highway,for Kampala,from Zombo District,taxi,Commuter taxi,UBG,Thursday,overturned,Night
191,"Vehicle knocks Primary Six pupil dead, injures 5 in Kamuli",2022-01-19,Mayuge,6.0,speeding,Wabulongo,17.0,"Kiyunga-Bukakande,",to Kamuli,from Jinja,,,UAL,Tuesday,knocked pedestrian,Day
